"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"BatteryHolder_MPD_BH-18650-PC2";1;"Battery_Cell";;;
2;"C1,C2";"C_0805_2012Metric";2;"22p";;;
3;"C3,C5,C7";"C_0805_2012Metric";3;"100nF";;;
4;"C4,C6";"CP_Elec_8x10";2;"220uF";;;
5;"D1";"LED_0805_2012Metric";1;"LED_CHRG";;;
6;"D2";"LED_0805_2012Metric";1;"LED_STDBY";;;
7;"D3";"LED_0805_2012Metric";1;"LED_PWR";;;
8;"IC1";"SOIC127P599X175-8N";1;"TP4056";;;
9;"J1,J2";"JST_B4B-XH-A(LF)(SN)";2;"B4B-XH-A(LF)(SN)";;;
10;"Q1";"TO-263-2";1;"IRLZ44N";;;
11;"R1";"R_0805_2012Metric";1;"1M";;;
12;"R2";"R_Axial_Power_L20.0mm_W6.4mm_P25.40mm";1;"1R5W";;;
13;"R3,R4,R5,R7";"R_0805_2012Metric";4;"330";;;
14;"R6";"R_0805_2012Metric";1;"1.5k";;;
15;"SW1";"SW_Push_1P1T_NO_CK_KSC7xxJ";1;"reset";;;
16;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328-AU";;;
17;"U2";"SOIC127P599X175-8N";1;"LM358M_NOPB";;;
18;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal";;;
19;"J3";"TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal";1;"Conn_01x02_Male";;;
20;"H1,H2,H3,H4";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_Pad";;;
21;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Open";;;
22;"D4";"LED_0805_2012Metric";1;"LED_STATUS";;;
23;"J4";"IDC-Header_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
24;"R8";"R_0805_2012Metric";1;"10k";;;
25;"TP1";"TestPoint_Pad_D3.0mm";1;"5V";;;
26;"TP2";"TestPoint_Pad_D3.0mm";1;"GND";;;
27;"TP3";"TestPoint_Pad_D3.0mm";1;"RX";;;
28;"TP4";"TestPoint_Pad_D3.0mm";1;"TX";;;
